Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
Dt. Oskar Budiman,dt.oskarbudiman180@outlook.com,81717821685,Male,55,1969,"Jl. M.T Haryono No. 3, Tangerang, 44950",Liberte Italian Cuisine,Restaurant,iPhone 12,iOS,539,11.9,2853,83,2007,12,other,Gen X,iPhone,Siang,outlook.com,XL,Ya
"Banara Pratiwi, S.Gz",banarapratiwis.gz181@aol.com,88618663679,Male,33,1991,"Gang Erlangga No. 729, Bogor, 49617",Sambal Setan,Restaurant,OnePlus 9,Android,151,2.4,1124,38,571,1,streaming video,Millennials,OnePlus,Dini Hari,aol.com,Smartfren,Ya
R.A. Mila Prayoga,r.a.milaprayoga182@gmail.com,88580978463,Male,24,2000,"Jl. Rajiman No. 88, Tangerang, 83960",Warung Tekko Pluit Village,Restaurant,Google Pixel 5,Android,474,6.4,2109,68,1079,19,e-commerce,Gen Z,Google,Malam,gmail.com,Smartfren,Ya
Kasiyah Purwanti,kasiyahpurwanti183@outlook.com,81385406089,Female,47,1977,"Jl. Stasiun Wonokromo No. 000, Jakarta Pusat, 73697",60 Common House,Cafe,iPhone 12,iOS,544,9.2,2936,83,2416,9,other,Gen X,iPhone,Pagi,outlook.com,Telkomsel,Tidak
Nyana Nurdiyanti,nyananurdiyanti184@outlook.com,89578806727,Female,39,1985,"Jl. Dr. Djunjunan No. 799, Jakarta Barat, 47456",Los Medellin,Cafe,iPhone 12,iOS,73,1.2,308,15,275,6,sosmed,Millennials,iPhone,Pagi,outlook.com,Tri,Tidak
"Puti Tina Haryanto, S.H.",putitinaharyantos.h.185@gmail.com,88730728503,Female,34,1990,"Gang Rajawali Timur No. 008, Bekasi, 69179",Ramen Ten 10 Kramat Jati,Restaurant,Xiaomi Mi 11,Android,597,10.4,2984,91,1564,10,other,Millennials,Xiaomi,Pagi,gmail.com,Smartfren,Ya
"Tgk. Ratna Hartati, M.M.",tgk.ratnahartatim.m.186@gmail.com,82315843110,Male,42,1982,"Jl. R.E Martadinata No. 9, Bekasi, 36819",Tujuhari Coffee,Cafe,Google Pixel 5,Android,498,10.7,2738,94,1995,4,other,Millennials,Google,Dini Hari,gmail.com,Telkomsel,Ya
Aurora Gunarto,auroragunarto187@yahoo.com,85939887464,Female,34,1990,"Gang Waringin No. 202, Jakarta Timur, 51996",SMK AL Khairiyah 2,Education Center,iPhone 12,iOS,402,7.8,2014,79,1088,8,e-commerce,Millennials,iPhone,Pagi,yahoo.com,XL,Tidak
"KH. Viktor Yolanda, M.M.",kh.viktoryolandam.m.188@gmail.com,81801034371,Male,37,1987,"Gang Ahmad Dahlan No. 9, Jakarta Pusat, 70642",Warung Tekko Kalibata,Restaurant,OnePlus 9,Android,75,1.1,379,15,185,16,sosmed,Millennials,OnePlus,Sore,gmail.com,XL,Ya
Cemplunk Manullang,cemplunkmanullang189@outlook.com,88357425719,Female,30,1994,"Jl. Asia Afrika No. 08, Bekasi, 46713",Kataloji Coffee & Eatery,Cafe,iPhone 12,iOS,130,2.0,602,21,589,14,streaming video,Millennials,iPhone,Siang,outlook.com,Smartfren,Tidak
Drs. Sarah Pratama,drs.sarahpratama190@protonmail.com,83225324804,Female,32,1992,"Gg. Rungkut Industri No. 35, Jakarta Utara, 18554",Dekhad Gandaria,Cafe,Samsung Galaxy S21,Android,42,1.1,402,11,265,1,sosmed,Millennials,Samsung,Dini Hari,protonmail.com,AXIS,Ya
Drs. Raden Suartini,drs.radensuartini191@gmail.com,85873650247,Male,23,2001,"Jalan Ahmad Yani No. 2, Jakarta Selatan, 80361",Suasana Kopi Gandaria,Cafe,iPhone 12,iOS,134,2.2,917,23,423,6,streaming video,Gen Z,iPhone,Pagi,gmail.com,Indosat IM3,Ya
R.A. Farah Permadi,r.a.farahpermadi192@yahoo.com,87816385054,Male,24,2000,"Gang Merdeka No. 03, Bekasi, 74162",60 Common House,Cafe,Google Pixel 5,Android,79,1.9,477,13,161,21,sosmed,Gen Z,Google,Malam,yahoo.com,XL,Ya
Azalea Mustofa,azaleamustofa193@gmail.com,88890769053,Female,59,1965,"Jl. Ahmad Yani No. 8, Depok, 70115",Koridor 01 Halte Taman Sari,Transportation,iPhone 12,iOS,432,7.2,1822,63,1127,12,e-commerce,Gen X,iPhone,Siang,gmail.com,Smartfren,Tidak
Ratna Riyanti,ratnariyanti194@aol.com,81963479485,Male,36,1988,"Jalan Kendalsari No. 6, Jakarta Timur, 43010",Dekhad Gandaria,Cafe,iPhone 12,iOS,262,4.1,1287,52,997,13,news,Millennials,iPhone,Siang,aol.com,XL,Tidak
Uchita Sihotang,uchitasihotang195@aol.com,89801846948,Female,23,2001,"Jl. Erlangga No. 63, Jakarta Utara, 37217",Kedai Inn Taman GBK,Cafe,Samsung Galaxy S21,Android,473,6.4,2109,79,1300,20,e-commerce,Gen Z,Samsung,Malam,aol.com,Tri,Tidak
Nilam Adriansyah,nilamadriansyah196@gmail.com,88821771457,Female,45,1979,"Gg. Jend. Sudirman No. 5, Tangerang, 14869",Los Medellin,Cafe,Google Pixel 5,Android,202,4.7,1512,49,659,11,news,Gen X,Google,Siang,gmail.com,Smartfren,Tidak
Rachel Lazuardi,rachellazuardi197@outlook.com,81952217840,Male,47,1977,"Jalan PHH. Mustofa No. 037, Depok, 00192",Kopitok Coffee Kemang,Cafe,OnePlus 9,Android,215,4.4,1407,41,991,11,news,Gen X,OnePlus,Siang,outlook.com,XL,Tidak
Unjani Napitupulu,unjaninapitupulu198@yahoo.com,81300159634,Female,41,1983,"Jalan Peta No. 4, Bekasi, 02897",Bleu Coffee and Space,Cafe,OnePlus 9,Android,151,3.7,1116,32,320,16,streaming video,Millennials,OnePlus,Sore,yahoo.com,Telkomsel,Tidak
"Tgk. Vivi Maulana, M.Ak",tgk.vivimaulanam.ak199@outlook.com,81239706754,Male,19,2005,"Jalan Cempaka No. 409, Bekasi, 20468",Think Coffee Club,Cafe,OnePlus 9,Android,80,1.6,549,14,197,17,sosmed,Gen Z,OnePlus,Sore,outlook.com,Telkomsel,Ya
Ir. Uchita Nuraini,ir.uchitanuraini200@gmail.com,83813527034,Female,35,1989,"Gg. Cikutra Timur No. 27, Tangerang Selatan, 15767",MTM Representative Office,Office,Xiaomi Mi 11,Android,126,2.8,971,32,431,3,streaming video,Millennials,Xiaomi,Dini Hari,gmail.com,AXIS,Ya
Asmuni Pradipta,asmunipradipta201@mail.com,81473443160,Female,31,1993,"Gg. Gegerkalong Hilir No. 358, Tangerang Selatan, 36783",Tous les Jours Sency,Cafe,Samsung Galaxy S21,Android,495,8.9,2920,84,2252,1,other,Millennials,Samsung,Dini Hari,mail.com,Indosat IM3,Tidak
Elma Maryati,elmamaryati202@outlook.com,88966948716,Female,37,1987,"Jl. Pasteur No. 1, Jakarta Utara, 26860",Koridor 01 Halte Dukuh Atas,Transportation,iPhone 12,iOS,127,3.7,1153,35,314,15,streaming video,Millennials,iPhone,Sore,outlook.com,Smartfren,Tidak
Prayoga Mardhiyah,prayogamardhiyah203@outlook.com,81849297984,Male,22,2002,"Jalan Ahmad Dahlan No. 846, Jakarta Timur, 95805",Dua Coffee @ Tebet,Cafe,Xiaomi Mi 11,Android,88,1.3,327,11,262,5,sosmed,Gen Z,Xiaomi,Pagi,outlook.com,XL,Tidak
Lasmono Kurniawan,lasmonokurniawan204@outlook.com,85829520093,Male,27,1997,"Gang Peta No. 608, Jakarta Pusat, 29951",HTS Net,Office,Google Pixel 5,Android,69,1.6,463,16,146,16,sosmed,Gen Z,Google,Sore,outlook.com,Indosat IM3,Tidak
Balamantri Kusmawati,balamantrikusmawati205@gmail.com,82372905227,Male,25,1999,"Gg. Abdul Muis No. 896, Jakarta Barat, 05476",Mall Taman Palem,Compound Space,OnePlus 9,Android,100,3.3,961,21,433,16,streaming video,Gen Z,OnePlus,Sore,gmail.com,Telkomsel,Tidak
Padma Saputra,padmasaputra206@gmail.com,81210567790,Male,29,1995,"Gg. Rajawali Timur No. 3, Jakarta Utara, 15521",SMK AL Khairiyah 2,Education Center,Xiaomi Mi 11,Android,301,6.5,2084,71,1421,22,e-commerce,Millennials,Xiaomi,Malam,gmail.com,Telkomsel,Tidak
Utama Halim,utamahalim207@yahoo.com,82223939550,Female,37,1987,"Jalan Kebonjati No. 86, Jakarta Barat, 78239",Satoru,Restaurant,Google Pixel 5,Android,78,1.7,455,15,207,3,sosmed,Millennials,Google,Dini Hari,yahoo.com,Telkomsel,Tidak
Hilda Suryono,hildasuryono208@outlook.com,89810317318,Male,23,2001,"Gang Rumah Sakit No. 0, Tangerang Selatan, 37610",HTS Net,Office,Google Pixel 5,Android,163,3.1,620,21,419,5,streaming video,Gen Z,Google,Pagi,outlook.com,Tri,Tidak
"KH. Gamblang Saragih, S.H.",kh.gamblangsaragihs.h.209@gmail.com,89707318237,Male,41,1983,"Gg. Moch. Ramdan No. 6, Jakarta Pusat, 08914",Ali Kopi Roastery Free Wifi,Cafe,OnePlus 9,Android,539,9.3,2606,92,1990,7,other,Millennials,OnePlus,Pagi,gmail.com,Tri,Ya
Nurul Aryani,nurularyani210@gmail.com,85517468948,Female,40,1984,"Jl. Setiabudhi No. 566, Jakarta Pusat, 45378",JEC Kedoya,Compound Space,Google Pixel 5,Android,278,4.6,1385,47,823,15,news,Millennials,Google,Sore,gmail.com,Indosat IM3,Tidak
"Atmaja Putra, S.Kom",atmajaputras.kom211@gmail.com,81555733230,Female,25,1999,"Jalan Cihampelas No. 66, Tangerang, 21649",Mall Taman Palem,Compound Space,Samsung Galaxy S21,Android,451,6.1,2108,76,1434,22,e-commerce,Gen Z,Samsung,Malam,gmail.com,Indosat IM3,Ya
Xanana Mandasari,xananamandasari212@gmail.com,88635555622,Male,18,2006,"Gg. Kutisari Selatan No. 55, Jakarta Utara, 44974",Mall Taman Palem,Compound Space,Samsung Galaxy S21,Android,481,10.9,2752,86,2017,3,other,Gen Z,Samsung,Dini Hari,gmail.com,Smartfren,Tidak
Zahra Yolanda,zahrayolanda213@gmail.com,88926419109,Male,25,1999,"Jalan Asia Afrika No. 330, Bogor, 67667",Tous les Jours Sency,Cafe,Samsung Galaxy S21,Android,133,3.4,714,38,445,15,streaming video,Gen Z,Samsung,Sore,gmail.com,Smartfren,Tidak
Eka Hasanah,ekahasanah214@gmail.com,85694825716,Male,22,2002,"Jalan S. Parman No. 73, Bekasi, 09622",Warung Tekko Kalibata,Restaurant,Xiaomi Mi 11,Android,41,1.1,588,10,246,6,sosmed,Gen Z,Xiaomi,Pagi,gmail.com,Indosat IM3,Tidak
"Kawaca Wacana, S.Pt",kawacawacanas.pt215@aol.com,85382202157,Female,42,1982,"Gg. Otto Iskandardinata No. 69, Tangerang Selatan, 00599",Dua Coffee @ Tebet,Cafe,iPhone 12,iOS,152,3.3,1175,29,461,8,streaming video,Millennials,iPhone,Pagi,aol.com,Telkomsel,Ya
Perkasa Megantara,perkasamegantara216@outlook.com,81162264146,Male,51,1973,"Gang Laswi No. 3, Tangerang Selatan, 65181",Tempat Kita Coffee,Cafe,OnePlus 9,Android,553,8.4,2559,89,2471,0,other,Gen X,OnePlus,Dini Hari,outlook.com,Telkomsel,Tidak
Gasti Purnawati,gastipurnawati217@aol.com,85310429641,Male,40,1984,"Jalan Kutisari Selatan No. 44, Jakarta Utara, 15812",Stasiun Boulevard Selatan,Transportation,iPhone 12,iOS,402,6.9,2282,78,1397,18,e-commerce,Millennials,iPhone,Sore,aol.com,Telkomsel,Tidak
Drs. Alika Laksmiwati,drs.alikalaksmiwati218@yahoo.com,85186190742,Male,24,2000,"Gg. Surapati No. 7, Jakarta Timur, 86913",Menara FIF - Kantin 2,Compound Space,OnePlus 9,Android,555,9.5,2855,95,1565,16,other,Gen Z,OnePlus,Sore,yahoo.com,Telkomsel,Ya
"Hamima Adriansyah, S.IP",hamimaadriansyahs.ip219@gmail.com,83231467707,Female,52,1972,"Gg. Indragiri No. 0, Jakarta Barat, 77035",Sambal Setan,Restaurant,iPhone 12,iOS,499,9.6,2873,81,1805,22,other,Gen X,iPhone,Malam,gmail.com,AXIS,Ya
drg. Arta Prasetyo,drg.artaprasetyo220@gmail.com,81499326656,Male,43,1981,"Jalan Cempaka No. 3, Tangerang, 79843",Pard Coffee,Cafe,Xiaomi Mi 11,Android,101,3.2,603,28,417,21,streaming video,Millennials,Xiaomi,Malam,gmail.com,Indosat IM3,Ya
Mujur Budiyanto,mujurbudiyanto221@outlook.com,85399509171,Male,32,1992,"Jl. Dr. Djunjunan No. 305, Tangerang, 92511",Warung Tekko Kalibata,Restaurant,OnePlus 9,Android,433,6.8,2093,75,1300,14,e-commerce,Millennials,OnePlus,Siang,outlook.com,Telkomsel,Tidak
Virman Hidayanto,virmanhidayanto222@protonmail.com,85622383079,Male,32,1992,"Gang KH Amin Jasuta No. 284, Jakarta Selatan, 71640",Gedung Cyber,Office,OnePlus 9,Android,133,2.0,1007,31,417,14,streaming video,Millennials,OnePlus,Siang,protonmail.com,Indosat IM3,Tidak
Harsanto Novitasari,harsantonovitasari223@gmail.com,88976629644,Female,21,2003,"Gang Asia Afrika No. 08, Jakarta Utara, 14427",Pard Coffee,Cafe,Xiaomi Mi 11,Android,351,6.1,1941,79,1290,5,e-commerce,Gen Z,Xiaomi,Pagi,gmail.com,Smartfren,Tidak
Kunthara Siregar,kuntharasiregar224@yahoo.com,88887344055,Female,53,1971,"Jl. Sukajadi No. 090, Depok, 45314",Warung Tekko Pluit Village,Restaurant,Samsung Galaxy S21,Android,532,10.7,2556,83,2148,1,other,Gen X,Samsung,Dini Hari,yahoo.com,Smartfren,Tidak
Edi Yuniar,ediyuniar225@gmail.com,81696466846,Male,27,1997,"Gg. Gegerkalong Hilir No. 988, Bogor, 22997",Ruuaang Kopi,Cafe,OnePlus 9,Android,92,2.5,690,31,563,8,streaming video,Gen Z,OnePlus,Pagi,gmail.com,Indosat IM3,Tidak
"Puti Setiawan, S.Psi",putisetiawans.psi226@aol.com,88756914947,Female,59,1965,"Jalan Stasiun Wonokromo No. 3, Jakarta Selatan, 92966",HTS Net,Office,Xiaomi Mi 11,Android,511,10.8,2712,97,2438,20,other,Gen X,Xiaomi,Malam,aol.com,Smartfren,Ya
Nrima Pradana,nrimapradana227@outlook.com,88669358231,Male,59,1965,"Gang R.E Martadinata No. 3, Jakarta Selatan, 95591",Pard Coffee,Cafe,Xiaomi Mi 11,Android,384,7.0,2185,72,1376,16,e-commerce,Gen X,Xiaomi,Sore,outlook.com,Smartfren,Tidak
Alika Ramadan,alikaramadan228@gmail.com,85628787564,Female,32,1992,"Gg. Monginsidi No. 905, Depok, 04068",Ramen Ten 10 Kramat Jati,Restaurant,iPhone 12,iOS,193,5.2,1318,49,626,0,news,Millennials,iPhone,Dini Hari,gmail.com,Indosat IM3,Tidak
"Kayun Susanti, S.Ked",kayunsusantis.ked229@outlook.com,81363526593,Male,41,1983,"Gg. Monginsidi No. 67, Tangerang, 56271",Tous les Jours Sency,Cafe,Samsung Galaxy S21,Android,132,3.8,649,25,368,9,streaming video,Millennials,Samsung,Pagi,outlook.com,Telkomsel,Ya
Sutan Mustofa Farida,sutanmustofafarida230@gmail.com,81152572827,Male,50,1974,"Jl. Cempaka No. 24, Tangerang, 01333",Sliced Terogong,Restaurant,Samsung Galaxy S21,Android,360,7.3,1946,79,1164,12,e-commerce,Gen X,Samsung,Siang,gmail.com,Telkomsel,Tidak
Lili Simbolon,lilisimbolon231@yahoo.com,83397941247,Male,38,1986,"Gang Siliwangi No. 34, Bekasi, 45738",Kataloji Coffee & Eatery,Cafe,iPhone 12,iOS,159,2.3,1083,32,526,14,streaming video,Millennials,iPhone,Siang,yahoo.com,AXIS,Tidak
"Kartika Hutapea, S.Pt",kartikahutapeas.pt232@outlook.com,81992547680,Male,31,1993,"Gg. Dipenogoro No. 765, Jakarta Selatan, 43473",Tuwuh Treats Bintaro,Cafe,iPhone 12,iOS,495,8.9,2855,91,2150,22,other,Millennials,iPhone,Malam,outlook.com,XL,Ya
drg. Nabila Nugroho,drg.nabilanugroho233@outlook.com,85192958283,Male,35,1989,"Jl. Tubagus Ismail No. 013, Bogor, 66867",Bleu Coffee and Space,Cafe,Xiaomi Mi 11,Android,537,10.0,2720,83,1763,16,other,Millennials,Xiaomi,Sore,outlook.com,Telkomsel,Ya
Dian Hutagalung,dianhutagalung234@gmail.com,85316467628,Female,36,1988,"Gang Asia Afrika No. 07, Jakarta Utara, 02859",Sliced Terogong,Restaurant,OnePlus 9,Android,129,3.4,1059,27,580,11,streaming video,Millennials,OnePlus,Siang,gmail.com,Telkomsel,Tidak
"Eka Gunawan, S.E.I",ekagunawans.e.i235@gmail.com,85713391187,Male,53,1971,"Jalan Cikutra Barat No. 663, Jakarta Timur, 94204",Warung Tekko Daan Mogot,Restaurant,iPhone 12,iOS,132,3.8,636,28,529,2,streaming video,Gen X,iPhone,Dini Hari,gmail.com,Indosat IM3,Ya
"Ghaliyati Lazuardi, M.Farm",ghaliyatilazuardim.farm236@gmail.com,85808931595,Female,19,2005,"Jl. HOS. Cokroaminoto No. 54, Jakarta Utara, 41681",Conclave Arteri,Office,Xiaomi Mi 11,Android,37,1.4,369,18,295,4,sosmed,Gen Z,Xiaomi,Dini Hari,gmail.com,Indosat IM3,Ya
Danuja Iswahyudi,danujaiswahyudi237@gmail.com,83367695391,Female,20,2004,"Jl. Asia Afrika No. 4, Depok, 83314",Koridor 01 Halte Sarinah,Transportation,Samsung Galaxy S21,Android,524,8.9,2549,88,1730,23,other,Gen Z,Samsung,Malam,gmail.com,AXIS,Tidak
Halima Gunawan,halimagunawan238@yahoo.com,89943750664,Female,19,2005,"Gang KH Amin Jasuta No. 1, Tangerang Selatan, 90434",8TH Brew Coffee Shop,Cafe,OnePlus 9,Android,425,6.9,2142,66,1130,22,e-commerce,Gen Z,OnePlus,Malam,yahoo.com,Tri,Tidak
Ghaliyati Mandala,ghaliyatimandala239@aol.com,81299022489,Male,53,1971,"Jl. Raya Ujungberung No. 60, Tangerang, 07765",Gedung Cyber,Office,OnePlus 9,Android,64,1.7,585,13,107,8,sosmed,Gen X,OnePlus,Pagi,aol.com,Telkomsel,Tidak
"Zaenab Wijaya, S.IP",zaenabwijayas.ip240@aol.com,85532200977,Female,33,1991,"Jalan Jakarta No. 9, Jakarta Selatan, 86457",SMK AL Khairiyah 2,Education Center,iPhone 12,iOS,573,10.8,2711,96,2118,21,other,Millennials,iPhone,Malam,aol.com,Indosat IM3,Ya
Hafshah Purwanti,hafshahpurwanti241@gmail.com,82104237509,Female,57,1967,"Gg. Rungkut Industri No. 272, Depok, 81283",Galeri Lafayette,Compound Space,Google Pixel 5,Android,45,1.7,302,16,191,11,sosmed,Gen X,Google,Siang,gmail.com,Telkomsel,Tidak
Raihan Hardiansyah,raihanhardiansyah242@gmail.com,81831242193,Female,37,1987,"Gang Veteran No. 9, Tangerang Selatan, 59087",Suasana Kopi Gandaria,Cafe,Xiaomi Mi 11,Android,564,11.7,2764,81,2133,14,other,Millennials,Xiaomi,Siang,gmail.com,XL,Tidak
Kania Hidayanto,kaniahidayanto243@aol.com,88342719419,Male,51,1973,"Jalan Yos Sudarso No. 3, Depok, 27094",Tujuhari Coffee,Cafe,OnePlus 9,Android,162,3.5,761,36,338,8,streaming video,Gen X,OnePlus,Pagi,aol.com,Smartfren,Tidak
Maimunah Anggraini,maimunahanggraini244@gmail.com,89561867294,Male,44,1980,"Gang Otto Iskandardinata No. 8, Jakarta Selatan, 36981",Graha Aruna,Office,Samsung Galaxy S21,Android,451,6.5,2378,69,1341,5,e-commerce,Gen X,Samsung,Pagi,gmail.com,Tri,Tidak
Pia Maheswara,piamaheswara245@gmail.com,83134369734,Male,35,1989,"Gang Ir. H. Djuanda No. 3, Jakarta Barat, 05254",Harton Tower,Office,OnePlus 9,Android,30,1.3,479,16,253,10,sosmed,Millennials,OnePlus,Pagi,gmail.com,AXIS,Tidak
"Rahmat Prasetya, M.Farm",rahmatprasetyam.farm246@gmail.com,85589660876,Male,29,1995,"Gg. M.T Haryono No. 65, Bekasi, 67419",Suasana Kopi Gandaria,Cafe,Samsung Galaxy S21,Android,202,5.0,1542,45,844,15,news,Millennials,Samsung,Sore,gmail.com,Indosat IM3,Ya
"Hj. Unjani Mardhiyah, M.Ak",hj.unjanimardhiyahm.ak247@aol.com,88128575050,Male,33,1991,"Jl. Sukajadi No. 585, Jakarta Timur, 44715",Satoru,Restaurant,Google Pixel 5,Android,71,1.5,590,17,257,21,sosmed,Millennials,Google,Malam,aol.com,Smartfren,Ya
"Hesti Sihotang, S.IP",hestisihotangs.ip248@yahoo.com,82253950083,Male,19,2005,"Jl. Jend. Sudirman No. 49, Depok, 97344",Stay Kopi Kopia,Cafe,Google Pixel 5,Android,314,6.2,2205,63,1066,19,e-commerce,Gen Z,Google,Malam,yahoo.com,Telkomsel,Ya
Dt. Viman Nainggolan,dt.vimannainggolan249@outlook.com,88447935006,Female,50,1974,"Gang Rajiman No. 3, Bekasi, 96444",Suasana Kopi Gandaria,Cafe,Xiaomi Mi 11,Android,168,4.0,866,22,581,13,streaming video,Gen X,Xiaomi,Siang,outlook.com,Smartfren,Ya
Tirta Mardhiyah,tirtamardhiyah250@gmail.com,82119172265,Female,58,1966,"Gang Merdeka No. 07, Jakarta Pusat, 97364",Kopitok Coffee Kemang,Cafe,Google Pixel 5,Android,75,1.9,537,13,230,2,sosmed,Gen X,Google,Dini Hari,gmail.com,Telkomsel,Tidak
"Cut Jessica Narpati, S.Farm",cutjessicanarpatis.farm251@gmail.com,82158142205,Female,29,1995,"Gg. BKR No. 3, Jakarta Barat, 70865",HTS Net,Office,OnePlus 9,Android,42,1.4,324,13,272,3,sosmed,Millennials,OnePlus,Dini Hari,gmail.com,Telkomsel,Ya
Alika Pradipta,alikapradipta252@gmail.com,83812874742,Female,23,2001,"Jalan Soekarno Hatta No. 462, Bogor, 72080",MTM Representative Office,Office,OnePlus 9,Android,441,7.9,2332,78,1477,15,e-commerce,Gen Z,OnePlus,Sore,gmail.com,AXIS,Tidak
Elon Sihombing,elonsihombing253@gmail.com,88682249052,Male,22,2002,"Jl. Cihampelas No. 78, Depok, 64737",Warung Tekko Kramat Jati,Restaurant,Google Pixel 5,Android,523,10.5,2460,99,1787,19,other,Gen Z,Google,Malam,gmail.com,Smartfren,Tidak
Salimah Safitri,salimahsafitri254@outlook.com,83876532613,Female,48,1976,"Gg. Antapani Lama No. 1, Jakarta Barat, 48979",Bukan Ruang,Cafe,Xiaomi Mi 11,Android,100,2.4,982,31,478,10,streaming video,Gen X,Xiaomi,Pagi,outlook.com,AXIS,Tidak
"T. Baktiono Simbolon, S.Pt",t.baktionosimbolons.pt255@gmail.com,81793919242,Female,24,2000,"Gg. Antapani Lama No. 40, Bogor, 04532",MTM Representative Office,Office,OnePlus 9,Android,52,1.2,398,14,172,21,sosmed,Gen Z,OnePlus,Malam,gmail.com,XL,Ya
Laswi Padmasari,laswipadmasari256@outlook.com,81990071510,Female,46,1978,"Jl. Ronggowarsito No. 18, Jakarta Pusat, 38442",Warung Tekko Kramat Jati,Restaurant,OnePlus 9,Android,397,7.0,2352,77,1101,3,e-commerce,Gen X,OnePlus,Dini Hari,outlook.com,XL,Tidak
Rahmi Melani,rahmimelani257@mail.com,85643040531,Male,52,1972,"Gg. Jakarta No. 0, Tangerang Selatan, 98856",Sambal Setan,Restaurant,Xiaomi Mi 11,Android,424,7.7,1863,65,1116,2,e-commerce,Gen X,Xiaomi,Dini Hari,mail.com,Indosat IM3,Tidak
Vega Suwarno,vegasuwarno258@gmail.com,89867412784,Female,19,2005,"Jalan M.T Haryono No. 926, Bekasi, 81039",Warung Tekko Artha Gading,Restaurant,Xiaomi Mi 11,Android,272,5.0,1655,45,686,7,news,Gen Z,Xiaomi,Pagi,gmail.com,Tri,Tidak
Mulyono Yolanda,mulyonoyolanda259@yahoo.com,81201417515,Male,18,2006,"Jl. Ronggowarsito No. 08, Jakarta Utara, 55426",Harton Tower,Office,Xiaomi Mi 11,Android,201,4.0,1791,50,914,18,news,Gen Z,Xiaomi,Sore,yahoo.com,Telkomsel,Tidak
Harjaya Puspita,harjayapuspita260@yahoo.com,81239737465,Female,49,1975,"Gg. Pacuan Kuda No. 045, Jakarta Pusat, 85837",Satoru,Restaurant,Xiaomi Mi 11,Android,570,9.0,2613,98,2497,24,other,Gen X,Xiaomi,Dini Hari,yahoo.com,Telkomsel,Tidak
Daniswara Iswahyudi,daniswaraiswahyudi261@outlook.com,85126142669,Female,43,1981,"Gang Peta No. 951, Tangerang Selatan, 77772",The Post Coffee and Eatery,Cafe,Xiaomi Mi 11,Android,64,1.3,490,14,151,23,sosmed,Millennials,Xiaomi,Malam,outlook.com,Telkomsel,Tidak
"Dr. Latika Laksmiwati, M.Ak",dr.latikalaksmiwatim.ak262@gmail.com,83849906058,Female,46,1978,"Gg. Veteran No. 090, Bogor, 99864",Satoru,Restaurant,iPhone 12,iOS,334,6.6,2394,68,1227,10,e-commerce,Gen X,iPhone,Pagi,gmail.com,AXIS,Ya
dr. Danu Mansur,dr.danumansur263@gmail.com,81320931366,Female,34,1990,"Jl. Rawamangun No. 7, Tangerang, 25028",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,iPhone 12,iOS,518,9.6,2954,93,2125,12,other,Millennials,iPhone,Siang,gmail.com,Telkomsel,Ya
Karja Mansur,karjamansur264@outlook.com,81719216963,Male,57,1967,"Jalan HOS. Cokroaminoto No. 9, Jakarta Utara, 54430",Kopikalyan Wijaya,Cafe,Samsung Galaxy S21,Android,70,1.7,359,10,109,12,sosmed,Gen X,Samsung,Siang,outlook.com,XL,Tidak
Novi Padmasari,novipadmasari265@yahoo.com,88281541052,Female,40,1984,"Gang Stasiun Wonokromo No. 48, Jakarta Selatan, 86001",60 Common House,Cafe,iPhone 12,iOS,334,6.8,2000,77,1079,8,e-commerce,Millennials,iPhone,Pagi,yahoo.com,Smartfren,Tidak
"Drs. Oni Nasyidah, M.Pd",drs.oninasyidahm.pd266@gmail.com,85652953916,Male,25,1999,"Jalan Raya Setiabudhi No. 3, Jakarta Selatan, 23997",Monarki Coffee Rawamangun,Cafe,Xiaomi Mi 11,Android,563,8.4,2849,85,1508,0,other,Gen Z,Xiaomi,Dini Hari,gmail.com,Indosat IM3,Ya
Kardi Hasanah,kardihasanah267@aol.com,85830709813,Female,22,2002,"Jalan Peta No. 45, Tangerang Selatan, 71315",Warung Fotkop,Cafe,iPhone 12,iOS,181,4.1,1608,43,752,23,news,Gen Z,iPhone,Malam,aol.com,Indosat IM3,Tidak
Bakiman Winarno,bakimanwinarno268@outlook.com,81246968401,Male,32,1992,"Jl. Kendalsari No. 1, Jakarta Pusat, 60333",Bleu Coffee and Space,Cafe,OnePlus 9,Android,584,9.4,2766,84,2151,2,other,Millennials,OnePlus,Dini Hari,outlook.com,Telkomsel,Tidak
Betania Hutasoit,betaniahutasoit269@gmail.com,89697863005,Male,55,1969,"Gg. Gedebage Selatan No. 108, Tangerang, 36551",HTS Net,Office,Samsung Galaxy S21,Android,208,4.7,1642,45,861,10,news,Gen X,Samsung,Pagi,gmail.com,Tri,Tidak
dr. Diah Pratama,dr.diahpratama270@gmail.com,88541484853,Male,20,2004,"Gg. Rajawali Timur No. 9, Jakarta Pusat, 56700",Menara FIF - Kantin 2,Compound Space,Samsung Galaxy S21,Android,381,6.6,2160,69,1450,14,e-commerce,Gen Z,Samsung,Siang,gmail.com,Smartfren,Ya
